 (New),(Mới)
Please provide accurate information about yourself,Vui lòng cung cấp thông tin chính xác về bản thân
Please provide information about your experience and skills,Vui lòng cung cấp thông tin về kinh nghiệm và kỹ năng của bạn
Please save the campaign first,
Please save the template first before adding steps,Vui lòng lưu mẫu trước khi thêm các bước
Please select a Facebook page,
Please select a Facebook page first,
Please select a PDF file,
Please select a Zalo OA,
Please select a connection,
Please select a flow to execute,
Please select a landing page first,
Please select a platform from the list to create a connection,
Please select a tag or create a new tag,
Please select a tag to remove,
Please select a template,
Please select a valid interaction method first,
"Please select an Excel (.xlsx, .xls) or CSV file.",
Please select an existing tag or create a new tag,
Please select an interaction method,
Please select at least one candidate,
Please select at least one field,
Please select at least one record,
Please select the skills that are relevant to the position you are applying for,Vui lòng chọn các kỹ năng có liên quan đến vị trí bạn đang đăng ký
Please wait until upload finishes,
Please wait while we analyze your file,
Please wait while we process your data...,
Please wait while we set up your page,
"Please wait, do not close this page",
Pool Name,
Pool Type,
Pool active,
Pool name is required,
Pool unactive,
Pools,
Popular,
Popup Blocked,
Portal Applicant Link,
Portfolio / Tệp Đính kèm khác,
Position,Chức vụ
Position Sync History,
Position sync operations will appear here once they are executed.,
Position to Segment,
Position to Segment Sync History,
Positions synced successfully,
Post Again,
Post Content,
Post File,
Post ID,
Post ID:,
Post Image,
Post Image (Optional),
Post Image/Video,
Post Images,
Post Information,
Post Job,
Post Message,
Post Now,
Post Schedule Time,
Post Text Template,
Post deleted successfully,
Post image,
Post now,
Post this exciting job opportunity with your network...,
Post this job posting...,
Post to,
Post to Facebook,
Post to TopCV job portal for wider candidate reach. Synchronization via TopCV ID.,
Post to Zalo,
Post {0} does not exist,
Posting Channels,
Posting Date,
Posting Failed,
Posting History,
Posting...,
Posts Count,
Posts Publishing,
Posts retrieved successfully,
Preferred Work Location,Vị trí công việc ưa thích
Premium,
Premium Template,
Presentation,
Prev,
Preview,
Preview Message,
Preview failed: {0},
Preview feature will be implemented soon,
Preview how this template will execute in a campaign,Xem trước cách mẫu này sẽ thực thi trong một chiến dịch
Preview on mobile,
Preview:,
Previous,Trước
Previous Interaction Datetime,
Previous flow step is completed,
Previous page,Trang trước
Primary,
Primary Account ID,
Primary Account Info,
Primary Calendar,
Priority,
Private,Riêng tư
Proceed with Import,
Processed At,
Processed Data (JSON),
Processing,
Processing Error,
Processing Logs,
Processing Resume with AI,
Processing Status,
Processing Time (seconds),
Processing and importing your job opening data,
Processing file...,
Processing...,
Processing: {0} / {1},
Professional,
Professional Information,Thông tin chuyên nghiệp
Profile Picture URL,
Profile Updated,
Profile will be added to segment,Hồ sơ sẽ được thêm vào phân khúc
Profile will be assigned to campaign,Hồ sơ sẽ được gán cho chiến dịch
Profiling,
Progress,Tiến triển
Progress Information,
Progress Percentage,
Promotion at the end of the week,
Provide a detailed description of the job responsibilities and day-to-day tasks,
Provide detailed job description...,
Provider,
Public,Công cộng
Public URL,
Public Views,Quan điểm công khai
Publish,
Published,Xuất bản
Published Date,
Published Page,
Published Page Selected,
Published page selected,
Publishing Summary,
Publishing will happen automatically after job opening creation,
Pull,Sự lôi kéo
Purpose,
Push,Xô
Q4/2025,
QR Code,
QR Code Generated,
QR Code created successfully,
QR Code deleted successfully,
QR Code generated,
QR Code saved but failed to generate image,
QR Code updated successfully,
QR Codes,
QR Configuration,
QR Data,
QR Image (Base64),
QR Name,
QR Scanned,
QR URL (with UTM),
Quality Source Analysis,
Queued {0} talent(s) for deletion: {1},
Quick Fill from Company Profile,
Quick Filters updated successfully,Bộ lọc nhanh được cập nhật thành công
Quick edit,
Quyền lợi,
Quyền truy cập Zalo,
Quá hạn,Quá hạn
Quản lý & Trạng thái,
Quản lý followers,
RECRUITMENT,
REMOVE_CUSTOM_FIELD,
REMOVE_TAG,
RETRY,
Rate,
Rating,
Raw Event Payload,
"React, NodeJS, Python...","React, Nodejs, Python ..."
Read,Đọc
Read Page Engagement,
Read User Content,
Read content posted by users on pages,
Readiness & Conversion Focus,
Readiness Level,
Ready,
Ready to Start Immediately,
Ready to add to pool,
Ready-to-use social media posts for attracting candidates,
Real-time,
Reason (Optional),
Receive data config created successfully,
Receive data config deleted successfully,
Receive data config updated successfully,
Receive webhook notifications,
Receiver,
Recent Tags,
Recently Completed,Gần đây đã hoàn thành
Recipient email is required,
Recipients,Người nhận
Recommended,
Recommended only,
Record a new interaction with profile,Ghi lại một tương tác mới với hồ sơ
Records,
Recruit,
Recruiter,
Recruiter/Owner,
Recruiting for important positions in the company.,Tuyển dụng cho các vị trí quan trọng trong công ty.
Recruitment,
Recruitment Campaign,
Recruitment Campaign Information,
Recruitment Campaign List,Danh sách chiến dịch tuyển dụng
Recruitment Marketing Dashboard,
Recruitment Priority Matrix,
Recruitment Readiness,
Recruitment Settings,
Recruitment email bounced,
Recruitment tag added,
Recruitment tag removed,
Redirect URL,
Redirect URL *,
Reference,
Reference Check,
Reference Doc,Tài liệu tham khảo
Reference Doctype,Tài liệu tham khảo doctype
Reference Name,
Reference to next flow template,
Reference to sequence template,
Referral,Giới thiệu
Refresh,Làm mới
Refresh Data,Làm mới dữ liệu
Refresh Error,
Refresh Preview,
Refresh Token,Làm mới mã thông báo
"Refresh Token (OAuth2), để làm mới Access Token","Làm mới mã thông báo (oauth2), để lÀm mới truy cập mã thông báo"
Refresh Token (Optional),
Refresh count,
Refreshed,
Refreshed successfully,
Registration source,
Registration successful! Continue to homepage?,Đăng ký thành công! Tiếp tục đến trang chủ?
Reject,
Reject Email,
Rejected,Vật bị loại bỏ
Related Campaigns,Các chiến dịch liên quan
Related Records,
Related Talent,
Reload,Tải lại
Reload Fields,
Reminder timing,
Remote,
Remove,
Remove Custom Field,
Remove Tag,
Remove Tag from Talent,
Remove Talent from Pool,
Remove a custom field from talent profile,
Remove all,Loại bỏ tất cả
Remove and move fields to previous column,Xóa và di chuyển các trường đến cột trước
Remove candidate field,
Remove channel,
Remove column,Xóa cột
Remove condition,
Remove custom field from talent profile,
Remove engagement tag,
Remove file,
Remove from Blacklist,
Remove group,
Remove image,
Remove marketing tag from talent,
Remove recruitment tag,
Remove section,Loại bỏ phần
Remove tab,Xóa tab
Remove tag,
Remove tag from talent profile,
Remove thumbnail,
Remove tracking field,
Reply,Hồi đáp
Reply Count,
Reply Rate,
Request timeout for TopCV API calls,
Required Permissions,
Required Skills (JSON Array),
Required fields,
Required for TopCV integration. Contact TopCV support to get your sync ID.,
Requirements,
Requires,
Requires premium access to use,
Reset,Cài lại
Reset Changes,Đặt lại thay đổi
Reset to Default,Đặt lại về mặc định
Resource Downloaded,
Restore,Khôi phục
Restore Defaults,Khôi phục mặc định
Result,Kết quả
Result (JSON),Kết quả (JSON)
Resume,Bản tóm tắt
Resume Database Access,
Resume Extract,
Resume Processed Successfully,
Resume Summary,
Resume URL,
Resume Uploaded Successfully,
Resume(ENC),
Retake,Retake
Retried,
Retry,Thử lại
Retry Count,
Retry Failed Files,
Retry Initiated,
Retry failed: {0},
Retrying,
Retrying...,
Review import results and next steps,
Review validation results,
Review your data and map columns to job opening fields,
Revoked,
Rewrite,
Rewrite with AI,
Rich Text,
Right,
Route,Tuyến đường
Route Name,Tên tuyến đường
Route is required,Tuyến đường là bắt buộc
Row,
Row Number,
Rows,Hàng
Running,Đang chạy
SCHEDULED,Dự kiến
SEND_EMAIL,Send_email
SEND_SMS,Send_sms
SEND_ZALO,
SENT_NOTIFICATION,
SEQUENCE,
SKIPPED,Bỏ qua
SLA Hành động (Giờ),
SMART_DELAY,
SMS,SMS
SMS Campaign,Chiến dịch SMS
SMS Configuration,
SMS Message,
SMS Notifications,
SMS Sent,
SMS Template,
SMS message,
SMS notifications,
SMS_DELIVERED,SMS_Delivered
SMS_REPLIED,SMS_Replied
SMS_SENT,SMS_SENT
START_FLOW,
STOP,
STOP_FLOW,
STOP_TRACKING,
SUBJECT,
SUBSCRIBE_TO_SEQUENCE,
SYNC_ATS,
SYSTEM_TRIGGERED,
Salary,
Salary Alignment,
Salary Range,
Sales Manager,Giám đốc bán hàng
Sales User,Người dùng bán hàng
Same Site,
Same Site?,Cùng một trang web?
Sample Data Preview,
Sample Data for Merge Fields,
Sample Values,Giá trị mẫu
Sample value,
Save,Cứu
Save & Edit,Lưu & Chỉnh sửa
Save Action,
Save Changes,Lưu các thay đổi
Save Content,
Save Draft,
Save Short URL,
Save Talent,
Save Template,
Save Trigger,
Save as Template,
Save this campaign as a template to quickly create similar campaigns in the future.,
Saved,
Saved Views,Lượt xem đã lưu
Saving...,Tiết kiệm ...
Scan to view job opening,
Scenario Description,
Schedule,Lịch trình
Schedule Call,
Schedule Date,Lịch trình ngày
Schedule Date & Time,
Schedule Follow-up,
Schedule Interview,
Schedule Nurturing,Lịch trình nuôi dưỡng
Schedule Options,
Schedule Post,
Schedule Send,
Schedule Start,
Schedule Time,
Schedule Time Expression,
Schedule Type,
Schedule for later,
Scheduled,Dự kiến
Scheduled At,Dự kiến tại
Scheduled Post Time,
Scheduled Time,
Scheduled for,
Scheduled for:,
Scheduled nurturing time reached,
Scheduled share cancelled,
Scheduled time is reached,
Scheduling,
Scheduling...,
Scope,
Scope & Permissions,
Scope Permissions,
Scope Type,
Scope type is required,
Score,Điểm
Score Change,
Score Reached,
Score Threshold,
Score Threshold Reached,
Screening,
Script,Kịch bản
Search,Tìm kiếm
Search Ladi pages...,Tìm kiếm các trang ladi ...
Search Steps,
Search action,
Search actions...,Hành động tìm kiếm ...
Search and select candidates from existing talent pools.,Tìm kiếm và chọn ứng viên từ các nhóm tài năng hiện có.
Search and select field...,
Search and select tag to add...,
Search and select tag to remove...,
Search and select tags...,
Search and select users...,
Search blacklist...,
Search by job title...,
Search by name or subject...,
Search by name...,Tìm kiếm theo tên ...
Search by step name or stage...,
Search by tag name...,
Search by template name...,
Search connectors...,
Search contact...,
Search data sources...,Nguồn dữ liệu tìm kiếm ...
Search emails...,Email tìm kiếm ...
Search fields...,
Search flows...,
Search or enter new Tag,
Search pages...,
Search platforms...,
Search pool,
Search shortlinks...,
Search tags...,
Search talent pools...,Tìm kiếm nhóm tài năng ...
Search talent...,
Search talents,
Search talents...,
Search templates...,Mẫu tìm kiếm ...
Search trigger,
Search...,Tìm kiếm...
Secret Key,
Secret Key is required,
Secret Token,
Secret for webhook signature verification,
Secret key required,
Section,Phần
Secure API Connection,
Secure OAuth Connection,
See what happened with each record,
Segment,Tiêu chí
Segment Analytics,Phân tích tiêu chí
Segment Assignment,
Segment ID is required,
Segment IDs are required,
Segment Name,Tên tiêu chí
Segment Type,Loại phân khúc
Segment name cannot exceed 100 characters,Tên tiêu chí không thể vượt quá 100 ký tự
Segment name is required,
Segment name must be at least 3 characters,Tên tiêu chí phải có ít nhất 3 ký tự
Segment not found,
Segment required,Phân khúc yêu cầu
Segment to Position,
Segment type is required,Loại tiêu chí là bắt buộc
Segment {0} deleted successfully,
Segment {0} does not exist,
Segments,Tiêu chí
Select Action Type,
Select All,Chọn tất cả
Select Audience to Nurture,
Select Campaign,Chọn Chiến dịch
Select Campaign Tags,
Select Candidate field,
Select Candidates,
Select Connection,
Select Email Template,
Select Event,
Select Existing Page,
Select Facebook Page,
Select Field,
Select Field to Remove,
Select Fields ({0}),
Select File,Chọn Tệp
Select Flow,
Select Job Opening,
Select Job Position,
Select Mira Talent field,
Select Owner,Chọn chủ sở hữu
Select Pool,
Select Pool (Optional),
Select Published Landing Page,
Select Recommended,
Select Scenario,
Select Segment,Chọn phân đoạn
Select Sequence,
Select Source,
Select Tag to Add,
Select Tag to Remove,
Select Target Candidates,
Select Target Segment,Chọn Phân đoạn mục tiêu
Select Tone,
Select Trigger,
Select Trigger Type,
Select Type,
Select Unit,
Select Zalo OA,
Select a different flow to start (cannot select the current flow),
Select a job opening...,
Select a job to attach this campaign to,
Select a level,Chọn một cấp độ
Select a location,Chọn một vị trí
Select a page,
Select a saved company profile to auto-fill information (you can still edit after selecting),
Select a segment,
Select a segment to save this campaign to (optional),
Select a tag...,
Select a talent pool,
Select a template for your recruitment campaign,
Select a template step...,
Select a trigger or action from the list on the left to begin configuring.,
Select a trigger or action to configure,
Select action type,Chọn loại hành động
Select action type...,Chọn loại hành động ...
Select all,
Select an action to view the preview,
Select an active ATS connection to sync candidates from:,
Select an active ATS connection to sync positions from:,
Select an item,
Select campaign type,
Select campaign type...,Chọn loại chiến dịch ...
Select channel,
Select company profile...,
Select configuration type,
Select date and time,
Select date...,
Select email account...,
Select employment type,
Select existing tag,
Select existing tags or create new ones,
Select field,Chọn trường
Select field...,
Select file,Chọn Tệp
Select flow to start,
Select flow...,
Select from existing tags,
Select job opening,
Select language,
Select manager,Chọn Trình quản lý
Select one or more users to receive this notification,
Select option...,
Select or search segment...,
Select pool type,
Select scenario to execute...,
Select scope,
Select segment,
Select segment to filter talents...,
Select segment type,Chọn loại phân đoạn
Select sender account (optional),
Select sequence,
Select source,Chọn nguồn
Select start date strategy,
Select status,Chọn trạng thái
Select tag to remove,
Select tag to remove...,
Select tag...,
Select talents to add to,
Select target type,
Select template field,
Select template...,
Select the email account to send from,
Select trigger type,
Select type,
Select value...,
Select {0},Chọn {0}
Selected,Đã chọn
Selected Channels:,
Selected Connection,
Selected Files,
Selected Recipients,
Selected Talents,
Selected files,
Selected records: ,
Selected skills,Kỹ năng được lựa chọn
Selected tag,
Selected tag will be removed from the candidate,
Selected tags,
Send,
Send Assessment,
Send Date,
Send Email,Gửi email
Send Email Notification,
Send Email Preview,
Send Email To Check,
Send Facebook Message,
Send Facebook Messenger outreach,
Send Facebook message to candidate,
Send Facebook nurturing message,
Send Failed,
Send Follow-up,
Send Internal Notification,
Send Interview Invite,
Send Message,
Send Messenger Message,
Send Notification,
Send Now,
Send Nurturing Email,
Send Offer,
Send Resource,
Send SMS,Gửi SMS
Send SMS marketing message,
Send SMS message to talent,
Send SMS notifications for bookings,
Send SMS nurturing message,
Send SMS to candidate,
Send Schedule,
Send Success,
Send Test Email,
Send To,
Send Welcome Email,
Send Welcome Message,
Send Zalo,
Send Zalo Care,
Send Zalo Message,
Send Zalo Quan Tâm Message,
Send Zalo ZNS,
Send Zalo ZNS Message,
Send Zalo marketing message,
Send Zalo message to candidate,
Send Zalo nurturing message,
Send Zalo/SMS Message,
Send Zalo/SMS message to talent,
Send a message to the customer via Messenger,
Send a message to the customer via SMS,
Send a message to the customer via Zalo Quan Tâm,
Send a message to the customer via Zalo ZNS,
Send a notification to users or talent,
Send after ,
Send an email to the profile,Gửi email đến hồ sơ
Send birthday greeting email,
Send campaign immediately,
Send candidate notification,
Send confirmation email,
Send email notifications for bookings,
Send email to candidate,
Send email to talent,
Send emails with rich HTML content and attachments,
Send engagement notification,
Send external request or webhook,
Send external webhook,
Send marketing email to talent,
Send message to candidate,
Send message to talent via multiple channels,
Send message to the candidate's phone number using Zalo,
Send message via Facebook Messenger,
Send message via Zalo,
Send messages through Facebook Messenger with rich media,
"Send messages through Zalo OA with text, images, and buttons",
Send notification to talent,
Send notification to team members,
Send notification to users,
Send nurturing email,
Send nurturing message,
Send plain text messages via SMS (160 characters recommended),
Send recruitment email to candidate,
Send unsubscribe confirmation email,
Sender,Người gửi
Sender Account,
Sending Strategy,
Sending email...,
Sending...,Gửi ...
Sent,
Sent:,
Separate multiple emails with commas,Tách biệt nhiều email với dấu phẩy
Sequence,
Sequence Completed,
Sequence ID,
Sequence Name,
Sequence Name [Required],
Sequence Template,
Sequences,
Session,
Session ID,
Session not found,
Set Start Time,
Set all as private,Đặt tất cả là riêng tư
Set all as public,Đặt tất cả như công khai
Set as default,Đặt làm mặc định
Set the delay after the previous message,
Set the status of this trigger,
Settings,Cài đặt
Settings & Actions,
Setup Guide,
Setup Source & Tracking Code,
Share,
Share Again,
Share Configuration Data,
Share Job Now,
Share Job Posting,
Share Message,
Share Software Implementation Specialist Recruitment,
Share retry initiated,
Share your job across connected platforms,
Shared At,
Shared Post ID,
Shared to:,
Sharing,
Sharing Details,
Short Code,Mã ngắn
Short Description,
Short Link,
Short URL,
Short URL already exists: ,
Short URL saved for tracking!,
Short link generated and added,
Short link updated for new template,
Short links updated for new template,
Shortlink Details,
Shortlink created successfully,
Shortlink deleted successfully,
Shortlinks,
Shortlisted,Lọt vào danh sách
Show,
Show Help,Hiển thị trợ giúp
Show Password,Hiển thị mật khẩu
Show Preview,
Show QR Code,Hiển thị mã QR
Show as Suggestion,
Show as suggested to users,
Show border,Hiển thị biên giới
Show label,Hiển thị nhãn
Show preview,Hiển thị xem trước
Showing,Hiển thị
Showing {0} of {1} pages,
Showing {0} of {1} templates,
Showing {0}-{1} of {2},
Singapore (GMT+8),
Single message,
Skill Deep Dive,
Skills,Kỹ năng
Skills & CV,
Skills (JSON Array),
Skills (optional),Kỹ năng (tùy chọn)
Skills (separated by commas),
Skills Assessment,
Skills Required is required,
Skills from segment,Kỹ năng từ phân khúc
Skip,Nhảy
Skip Duplicates,
Skip duplicate emails,
Skipped,Bỏ qua
Skipped Count (Duplicates),
Slug,Sên
Smart Delay,
Social Contents,
Social Engagement,
Social Hub Manager,
Social Hub User,
Social Media,Phương tiện truyền thông xã hội
Social Media Attraction,
Social Media Campaign,Chiến dịch truyền thông xã hội
Social Media Page,
Social Media Posts,
Social Network,Mạng xã hội
Social Network Configuration,
Social Page ID,
Social Posts,
Social media contents,
Social posts saved successfully,
SocialNetwork,SocialNetwork
Soft Skills,
Some files were skipped due to invalid format or size exceeding 10MB.,
Sort,Loại
Source,Nguồn
Source Action,Nguồn hành động
Source File,Tệp nguồn
Source Name,Tên nguồn
Source Type,Loại nguồn
Source name is required,Tên nguồn được yêu cầu
Source type is required,Loại nguồn là bắt buộc
Spam,
Specify job requirements...,
"Specify required qualifications, skills, experience, and education",
Stage Options,
"Standard Mira Form Scripts can not be modified, duplicate the Mira Form Script instead.","Không thể sửa đổi mẫu MIRA tiêu chuẩn Mira, thay vào đó sao chép tập lệnh MIRA Mẫu."
Standard Views,Quan điểm tiêu chuẩn
Start,
Start Date,Ngày bắt đầu
Start Date & Time,
Start Date Strategy,
Start Date/Time,
Start Flow,
Start Now,
Start Sync,
Start Time,
Start a new email template,
Start a new jobopening,
Start a new recruitment request,Bắt đầu một yêu cầu tuyển dụng mới
Start by adding the first talent profile.,Bắt đầu bằng cách thêm hồ sơ tài năng đầu tiên.
Start by adding your first candidate.,Bắt đầu bằng cách thêm ứng viên đầu tiên của bạn.
Start by creating your first campaign template.,Bắt đầu bằng cách tạo mẫu chiến dịch đầu tiên của bạn.
Start by creating your first data source.,Bắt đầu bằng cách tạo nguồn dữ liệu đầu tiên của bạn.
Start creating your first recruitment campaign,Bắt đầu tạo chiến dịch tuyển dụng đầu tiên của bạn
Start date cannot be after end date,Ngày bắt đầu không thể sau ngày kết thúc
Start flow,
Start with a pre-built template and customize as needed,
Start with an existing talent Pool as base,
Started At,
Starting Step,Bước bắt đầu
Starting with blank canvas. Previous content was in old format.,
Starts With,
Starts with,
Statistics,
Status,Trạng thái
Status Change,
Status Changed,
Status is required,
Status:,
Step,Bước chân
Step 1: Campaign Information Template,
Step 1: Choose Where to Post,
Step 1: Prepare Your Data,
Step 2: Content & Channels Template,
Step 2: Post Information,
Step 2: Processing File,
Step 3: Review and Map Fields,
Step 3: Settings & Automation Template,
Step 4: Importing Data,
Step 4: Validation Results,
Step 5: Import Results,
Step Management,
Step Name,Tên bước
Step Order,Bước đơn đặt hàng
Step added successfully,Bước được thêm thành công
Step copied successfully,Bước sao chép thành công
Step deleted successfully,Bước đã xóa thành công
Step duplicated successfully,Bước trùng lặp thành công
Step moved successfully,Bước di chuyển thành công
Step name is required,Tên kế được yêu cầu
Step name must be less than 150 characters,Tên bước phải nhỏ hơn 150 ký tự
Step order must be a positive number,
Step order must be between 1 and 999,Lệnh bước phải từ 1 đến 999
Step updated successfully,Bước cập nhật thành công
Steps,Các bước
Stop Nurturing and Send Email,
Stop Tracking,
Stop candidate tracking,
Stop flow,
Stop nurturing and send email,
Stop nurturing and send final email,
Stop nurturing and send final email to user,
Stop nurturing tracking,
Stop tracking,
Stop tracking this talent,
Stop tracking this talent in the system,
Stop tracking this talent permanently,
Stopped,
Store additional configuration as JSON,
Store additional configuration as JSON format,
Streamlined interview scheduling and calendar management,
Sub Owner,
Subject,Chủ thể
Subject is required,
Subject:,
Submit,Nộp
Submit form/apply,
Submitting,
Subscribe Newsletter,
Subscribe to Sequence,
Subscribed to Sequence,
Success,Thành công
Success Count,
Success Only,
Success Rate,
Success Rate:,
Successful,
Successful Calls,
Successfully Imported,
Successfully created {{count}} job openings,
Successfully created: {0},
Suggested Talents,
Suggested Template,
Summary,
Summary Text Source,
"Support Excel (.xlsx, .xls) and CSV files",
Switch camera,Chuyển đổi camera
Sync,
Sync All Changes,
Sync Candidates from ATS,
Sync Direction,Đồng bộ hướng
Sync Frequency,
Sync Frequency (minutes),Tần số đồng bộ hóa (phút)
Sync Frequency Minutes,Số phút tần số đồng bộ hóa
Sync History,
Sync ID,
Sync Items,
Sync Log Already Exists,
Sync Pages,
Sync Positions from ATS,
Sync Progress,
Sync Settings,
Sync Type,
Sync booking history,
Sync candidate profiles,
Sync completed successfully! {0} segments synced.,
Sync completed successfully! {0} talents synced.,
"Sync completed with some errors. Success: {0}, Failed: {1}",
Sync events both from and to Cal.com,
Sync failed,
Sync failed: {0},
Sync frequency,
Sync from ATS,
Sync operations will appear here once they are executed.,
Sync started successfully. The process is running in the background.,
Sync started successfully. You will be notified when the process completes.,
Sync with external system,
SyncID,
Syncing...,
System & Internal Activity Log,
System Generated,
System Info,
System Manager,Trình quản lý hệ thống
System Template,
System Templates,
System Update,
"Số lượng ứng viên hiện có trong phân khúc (dùng để hiển thị, được cập nhật định kỳ).",Số lượng ứng viênn hiện đó
Số lần click,
Số lần mở,
Số lần thử lại tối đa,
Số lần trả lời,
Số ngày tính từ lần tương tác đầu tiên đến tương tác hiện tại,
Số ngày từ first -> now,
Số năm Kinh nghiệm,
Số Điện Thoại,
Sử dụng template,
TEAM,
TEST_COMPLETED,Test_completed
TEST_STARTED,Test_started
TO,
TUYỂN DỤNG:,
Tag,
Tag Added,
Tag Applied,
Tag Details,
Tag Name,
Tag Removed,
Tag created successfully,
Tag deleted successfully,
Tag removed successfully,
Tag to Add,
Tag to Remove,
Tag updated successfully,
Tag will be added to the directory and assigned to the candidate,
Tag will be added to the folder and assigned to the candidate,
Tag will be removed from the candidate,
Tags,
Tags Management,
Tags added successfully,
Tags that will be automatically applied to campaigns created from this template,
Talent,
Talent Activity Log,
Talent Count,
Talent Created,
Talent Filters,
Talent ID is required,
Talent Information,
Talent Pool,Hồ bơi tài năng
Talent Pools,Kho nhân tài
Talent Pools Details,
Talent Profile,Hồ sơ tài năng
Talent Profiles,Hồ sơ tài năng
Talent Requiring Update,
Talent Segment,
Talent Segment Details,Chi tiết phân khúc tài năng
Talent Segments,Phân khúc
Talent Source,
Talent Updated,
Talent applies during nurturing,
Talent applies to a job posting,
Talent applies to job posting,
Talent becomes inactive,
Talent clicks nurturing content link,
Talent clicks on a link in email or message,
Talent clicks on marketing link,
Talent deleted successfully,
Talent engagement score reaches threshold,
Talent enters nurturing pipeline,
Talent fills out form or submits application,
Talent fills out interest form,
Talent in this Pool,
Talent is created in the system,
Talent name is required,
Talent names are required,
Talent not found,
Talent opens an email from the campaign,
Talent opens nurturing email,
Talent opens outreach email,
Talent pool created successfully,
Talent pool deleted successfully,
Talent pool has been saved successfully,Bể bơi tài năng đã được cứu thành công
Talent pool updated successfully,
Talent profile is updated,
Talent profile updated,
Talent removed from pool successfully,
Talent replies to an email,
Talent replies to email,
Talent replies to nurturing email,
Talent responds or interacts with campaign,
Talent responds to nurturing,
Talent responds to outreach,
Talent segment deleted successfully,
Talent shows no activity for set period,
Talent status changes,
"Talent status changes (e.g., Active, Paused, Completed)",
"Talent status changes (e.g., recruited, rejected)",
Talent submits engagement form,
Talent unsubscribes from campaign,
Talent unsubscribes from nurturing,
Talent {0} deleted successfully,
Talent {0} does not exist,
TalentPool,Talentpool
TalentProfile Campaign,Chiến dịch TalentProfile
Talents in this Pool,
Talents needing re-engagement (6+ months inactive),
Target Account ID,
Target Candidates,Mục tiêu ứng cử viên
Target Field,Trường mục tiêu
Target Job Role,
Target OA,
Target Page,
Target Page/Account Name,
Target Pool,
Target Segment,Tiêu chí
Target Source,
Target Type,
Target URL,
Target pool is not set. Cannot send emails.,
Task,Nhiệm vụ
Task Actions,
Task Definition,
Task ID is required,ID nhiệm vụ là bắt buộc
Task name,
Task not found,Nhiệm vụ không tìm thấy
Task updated successfully,Nhiệm vụ được cập nhật thành công
Team,
Team Account,
Technical Details,
Telegram,
Template,Bản mẫu
Template ,
Template Actions,
Template Actions & Triggers,
Template Attachments,
Template Configuration,
Template Content,Nội dung mẫu
Template Description,
Template Details,
Template Field → Mira Talent Field,
Template File,
Template ID,
Template Images,
Template Info,Thông tin mẫu
Template Information,
Template Messages,
Template Name,Tên mẫu
Template Name is required,
Template Not Found,
Template Properties,
Template Settings,
Template Step,
Template Steps,Các bước mẫu
Template Thumbnail,
Template Triggers,
Template Type,
Template Variables,
Template applied successfully,
Template created successfully,Mẫu tạo thành công
Template data loaded successfully!,
Template deleted successfully,Mẫu đã xóa thành công
Template description is required,
Template has been downloaded successfully.,
Template name is required,Tên mẫu được yêu cầu
Template name must be less than 150 characters,Tên mẫu phải nhỏ hơn 150 ký tự
Template not found,Mẫu không tìm thấy
Template saved successfully,
Template saved to campaign,
Template social content deleted successfully,
Template social content not found,
Template social content saved successfully,
Template updated,
Template updated successfully,Mẫu cập nhật thành công
Template version,
Template được duyệt:,
Templates,
Temporarily stopped,
Tenant Name,
Tenant Name *,
Test,
Test Birthday,
Test Connection,Kết nối kiểm tra
Test Email Configuration,
Test Link,
Test Share Job to Facebook,
Test connection error: {0},Lỗi kết nối kiểm tra: {0}
Test connection failed: {0},Kết nối kiểm tra không thành công: {0}
Test email sent successfully! Check for follow-up in 5 minutes if not clicked.,
Testing...,Thử nghiệm ...
Text Block,
Tham chiếu đến order trong CampaignStep để xác định bước hiện tại,
Tham chiếu đến order trong CampaignStep để xác định bước hiện tại.,Tham Chiếu ĐếN đặt hàng Trong Chiến dịch Để Xát
Thanks for your interest! Reply with your questions.,
Thao tác,
Thao tác thành công!,Thao Tácc ThànH Công!
The add candidate feature will be developed in the next phase.,Tính năng ứng cử viên thêm sẽ được phát triển trong giai đoạn tiếp theo.
The candidate will be marked as unsubscribed and will not receive future emails,
The email has been successfully sent.,
The requested page could not be found.,Không thể tìm thấy trang được yêu cầu.
The requested template could not be loaded.,
The selected scenario will be executed after the specified delay,
There are no published landing pages available to select from.,
This Month,Tháng này
This Quarter,Quý này
This Week,Tuần này
This Year,Năm nay
This action cannot be undone!,Hành động này không thể được hoàn tác!
This action cannot be undone.,Hành động này không thể được hoàn tác.
This action will add the selected tag to talent profile when triggered,
This action will remove the selected tag from talent profile when triggered,
This action will send a message via Facebook Messenger,
This action will send a message via Zalo,
This action will send a notification to selected team members,
This action will send a notification to team members,
This action will send an SMS message to talent,
This action will send an email to talent when triggered,
This action will update a field value in talent profile when triggered,
This actioncannotbe undone.,
This campaign is not active,Chiến dịch này không hoạt động
This campaign will be sent to approximately,
This connection already has a sync log with status: {0},
This connection cannot be disconnected in its current state,
This connection failed to authenticate. You can edit settings and try again.,
This connection has been disconnected. You can edit settings to reconnect.,
This connection is pending authentication. You can edit settings or disconnect if needed.,
This connection uses API Key authentication for secure data exchange. Your credentials are encrypted and never shared.,
This connection uses OAuth 2.0 for secure authentication. Your Facebook credentials are never stored on our servers.,
This email is already in use. Please use a different email address.,
This endpoint will receive candidate data from landing page form,
This field is required,Trường này được yêu cầu
This function is only for email channels.,
This is a preview. Actual message may vary.,
